column_name,category,discharges,percentage
Payment Typology 2,"Managed Care, Unspecified",5718,0.269
Payment Typology 2,Department of Corrections,80,0.0038
Payment Typology 3,[MISSING],1843136,86.705
Payment Typology 3,Self-Pay,162952,7.6656
Payment Typology 3,Medicaid,72766,3.4231
Payment Typology 3,Private Health Insurance,18853,0.8869
Payment Typology 3,Blue Cross/Blue Shield,13356,0.6283
Payment Typology 3,Medicare,11614,0.5463
Payment Typology 3,Federal/State/Local/VA,2175,0.1023
Payment Typology 3,"Managed Care, Unspecified",641,0.0302
Payment Typology 3,Miscellaneous/Other,239,0.0112
Payment Typology 3,Department of Corrections,22,0.001
Emergency Department Indicator,Y,1335889,62.8431
Emergency Department Indicator,N,789865,37.1569
Discharge Year,2023,2125754,100.0
