model_name,subgroup_dimension,subgroup_value,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs
APR_DRG_SEVERITY_MEAN,hospital_key,1,4333,3.7463743853607925,1.9972752043596729,6.853330219162969,6.406646665128087,6.68238853019903,27760.0,28954.789501352396,0.9587360322099184,0.04126396779008157
APR_DRG_SEVERITY_MEAN,hospital_key,2,2628,2.87154993552248,1.807397504456328,4.394920515603522,4.545662100456621,6.109335916325644,11946.0,16055.334788103793,0.7440517533680702,0.25594824663192983
APR_DRG_SEVERITY_MEAN,hospital_key,3,133,7.419085606181113,6.116803278688524,10.87247958458292,7.93984962406015,11.24126914826201,1056.0,1495.0887967188473,0.7063125630514517,0.29368743694854826
APR_DRG_SEVERITY_MEAN,hospital_key,5,223,2.449392850632027,1.461267605633803,3.598250844673566,2.717488789237668,4.79608445986573,606.0,1069.5268345500579,0.566605699290322,0.433394300709678
APR_DRG_SEVERITY_MEAN,hospital_key,6,371,6.381739225508279,3.7369157570668907,10.156525318674506,9.495956873315365,10.4131783531565,3523.0,3863.2891690210618,0.9119172409485233,0.08808275905147667
APR_DRG_SEVERITY_MEAN,hospital_key,7,990,2.659238058025156,1.6257703081232493,4.475005064133286,4.725252525252525,5.1111655111762655,4678.0,5060.053856064503,0.9244960889879444,0.07550391101205556
APR_DRG_SEVERITY_MEAN,hospital_key,8,1546,3.0911078763094713,1.6146710526315788,5.460680589496503,5.546571798188874,5.683278832684556,8575.0,8786.349075330323,0.9759457456654285,0.024054254334571534
APR_DRG_SEVERITY_MEAN,hospital_key,9,739,3.038126927131092,1.889546351084812,4.821477988591923,5.454668470906631,5.705489699982121,4031.0,4216.356888286788,0.9560386150418821,0.043961384958117855
APR_DRG_SEVERITY_MEAN,hospital_key,10,553,3.124243759371729,1.7146118721461185,7.082263222187447,5.092224231464738,5.766846834436768,2816.0,3189.0662994435324,0.8830170763434333,0.1169829236565667
APR_DRG_SEVERITY_MEAN,hospital_key,11,117,2.58408751951341,2.2630842429331093,3.4747884886238434,4.102564102564102,5.062158524520422,480.0,592.2725473688894,0.8104376982055833,0.1895623017944167
APR_DRG_SEVERITY_MEAN,hospital_key,12,693,3.454573153543805,1.616119402985075,7.082184784373004,4.982683982683983,5.639180910461317,3453.0,3907.9523709496925,0.883582928407305,0.11641707159269499
APR_DRG_SEVERITY_MEAN,hospital_key,13,21,2.797479438563708,2.228963938179737,3.338452571144316,3.4285714285714284,5.274409690869035,72.0,110.76260350824974,0.6500388914624723,0.3499611085375277
APR_DRG_SEVERITY_MEAN,hospital_key,14,935,2.327526204747937,1.355721393034826,4.608936870445546,4.227807486631016,4.489830286916394,3953.0,4197.991318266829,0.9416408230286729,0.05835917697132709
APR_DRG_SEVERITY_MEAN,hospital_key,15,104,8.7551160845599,6.647086000924031,11.929185432778006,10.60576923076923,12.174244407513799,1103.0,1266.121418381435,0.8711644744230268,0.1288355255769732
APR_DRG_SEVERITY_MEAN,hospital_key,16,146,2.4536344787130866,1.461267605633803,3.4815793786983606,2.993150684931507,4.840516148103144,437.0,706.715357623059,0.6183536204304234,0.3816463795695766
APR_DRG_SEVERITY_MEAN,hospital_key,17,914,3.9705102264991123,1.7293388429752063,8.199042082214014,6.378555798687089,5.770394994825494,5830.0,5274.141025270501,1.105393271068437,0.1053932710684371
APR_DRG_SEVERITY_MEAN,hospital_key,18,367,4.216192269611672,1.9938271604938276,8.827822455650825,7.885558583106267,6.516680848418977,2894.0,2391.6218713697644,1.2100575072691178,0.21005750726911776
APR_DRG_SEVERITY_MEAN,hospital_key,19,411,3.7916626930008923,2.02,8.970385783840168,5.45985401459854,5.3382520601471,2244.0,2194.021596720458,1.022779357939889,0.022779357939888945
APR_DRG_SEVERITY_MEAN,hospital_key,20,13,3.7908504032720676,3.4968197879858653,4.371116045271186,3.6153846153846154,6.169556072387976,47.0,80.20422894104368,0.5860040127628262,0.4139959872371738
APR_DRG_SEVERITY_MEAN,hospital_key,21,14,2.063479974626712,1.6028340702530093,2.7805658520334458,4.5,4.92628925307252,63.0,68.96804954301528,0.9134664589971764,0.08653354100282362
APR_DRG_SEVERITY_MEAN,hospital_key,22,22,2.6089092265958658,2.255713093122206,3.3580886142911597,3.772727272727273,6.1143241174854275,83.0,134.5151305846794,0.6170309588165637,0.38296904118343633
APR_DRG_SEVERITY_MEAN,hospital_key,23,1008,4.208246825883974,2.334270717202917,7.992039123499532,7.374007936507937,7.49517120603001,7433.0,7555.13257567825,0.9838344894077142,0.01616551059228577
APR_DRG_SEVERITY_MEAN,hospital_key,24,2610,2.9040940582685066,1.6117620032161728,4.9323616267392785,5.267432950191571,5.996918741839258,13748.0,15651.957916200465,0.8783565655878882,0.12164343441211178
APR_DRG_SEVERITY_MEAN,hospital_key,25,680,2.1964963547318055,1.2252414627607546,3.5342822214550904,4.2102941176470585,4.72206013774963,2863.0,3211.0008936697486,0.8916222993410539,0.10837770065894614
APR_DRG_SEVERITY_MEAN,hospital_key,26,2815,3.9275400103463505,2.1709401709401708,7.157678838197793,6.806039076376554,6.516265468776025,19159.0,18343.28729460451,1.0444692759969705,0.04446927599697048
APR_DRG_SEVERITY_MEAN,hospital_key,27,1529,2.5074474264893953,0.9875455650060754,6.250433951147786,4.70372792674951,5.087942362441616,7192.0,7779.463872173232,0.924485301066239,0.07551469893376095
APR_DRG_SEVERITY_MEAN,hospital_key,28,1734,4.660758409366274,2.149159663865546,9.051926373206085,8.26643598615917,6.935351472537974,14334.0,12025.899453380847,1.1919274774886195,0.1919274774886195
APR_DRG_SEVERITY_MEAN,hospital_key,29,2113,2.5022700914995615,1.383880597014925,4.280264933845387,4.810222432560341,5.46108681626478,10164.0,11539.276442767481,0.8808177922083261,0.11918220779167388
APR_DRG_SEVERITY_MEAN,hospital_key,30,498,4.511649613492331,2.277046783625731,8.528495045854854,8.355421686746988,7.342085241103163,4161.0,3656.358450069375,1.1380175266790513,0.13801752667905132
