n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs,model_name,candidate_type,total_cv_seconds,mae_rank,median_absolute_error_rank,rmse_rank,calibration_error_abs_rank,multi_metric_rank_score,mae_improvement_vs_strong_baseline_pct
250000,3.336726562485632,1.6340361445783134,7.061389849610222,5.782,5.783082163345929,1445500.0,1445770.5408364823,0.9998128742917076,0.0001871257082923794,APR_DRG_SEVERITY_MEAN,Strong transparent mean baseline,0.04953486666393776,4.0,3.0,2.0,4.0,3.25,0.0
250000,3.284979909256935,1.658697247505188,6.959015182708617,5.782,5.776028439627647,1445500.0,1444007.1099069118,1.0010338523147468,0.0010338523147468415,XGBOOST,Statistical / ML,14.506381000042893,2.0,4.0,1.0,7.0,3.5,1.5508209096447294
250000,3.087932,1.0,7.296577965046354,5.782,4.472464,1445500.0,1118116.0,1.2927996737368932,0.2927996737368932,APR_DRG_SEVERITY_MEDIAN,Transparent median baseline,0.04953486666393776,1.0,1.0,4.0,9.0,3.75,7.456246648520615
250000,3.424587325726013,1.7341761589050293,7.128632020678226,5.782,5.783009350368043,1445500.0,1445752.3375920106,0.9998254627812458,0.00017453721875415606,RIDGE_REGRESSION,Statistical / ML,5.939482799964026,5.0,5.0,3.0,3.0,4.0,-2.633142440504053
250000,3.512403924490263,2.082931695888762,7.361639155710269,5.782,5.782320356629834,1445500.0,1445580.0891574584,0.9999445972187504,5.540278124960274e-05,RANDOM_FOREST,Statistical / ML,10.15140839992091,6.0,7.0,5.0,2.0,5.0,-5.264961294094277
250000,3.3319,1.0,7.79296965219293,5.782,4.077964,1445500.0,1019491.0,1.4178644048843982,0.41786440488439824,APR_DRG_MEDIAN,Transparent baseline,0.04953486666393776,3.0,1.0,7.0,10.0,5.25,0.14464962577084498
250000,3.6821330492535167,2.0960854092526686,7.488385773046536,5.782,5.785757595372976,1445500.0,1446439.398843244,0.9993505439329189,0.0006494560670811111,APR_DRG_MEAN,Transparent mean baseline,0.04953486666393776,7.0,8.0,6.0,5.0,6.5,-10.35165693980572
250000,3.886158309876442,2.4838063716888428,8.026966685864826,5.782,5.777531045884133,1445500.0,1444382.761471033,1.0007735058592289,0.0007735058592288624,POISSON_REGRESSION,Statistical / ML,7.762484799954109,8.0,9.0,8.0,6.0,7.75,-16.466190354582757
250000,4.618605391767852,3.6787344977170315,8.752643722291962,5.782,5.782002128573174,1445500.0,1445500.5321432934,0.9999996318622639,3.681377360731375e-07,STATEWIDE_MEAN,Transparent mean baseline,0.04953486666393776,11.0,11.0,10.0,1.0,8.25,-38.41725731122864
250000,3.923728,2.0,9.182673249114334,5.782,3.0,1445500.0,750000.0,1.9273333333333333,0.9273333333333333,STATEWIDE_MEDIAN,Transparent baseline,0.04953486666393776,9.0,6.0,11.0,11.0,9.25,-17.592134881951264
250000,3.9952630318956377,2.5884785652160645,8.297544409196204,5.782,5.557849318375587,1445500.0,1389462.3295938969,1.0403304711560488,0.04033047115604882,TWEEDIE_REGRESSION,Statistical / ML,5.814861700171605,10.0,10.0,9.0,8.0,9.25,-19.73600344762567
