population,model_name,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs
All eligible development rows,APR_DRG_SEVERITY_MEAN,250000,3.336726562485632,1.6340361445783134,7.061389849610222,5.782,5.783082163345929,1445500.0,1445770.5408364823,0.9998128742917076,0.0001871257082923794
All eligible development rows,XGBOOST,250000,3.284979909256935,1.658697247505188,6.959015182708617,5.782,5.776028439627647,1445500.0,1444007.1099069118,1.0010338523147468,0.0010338523147468415
Exclude 120+ top-coded LOS,APR_DRG_SEVERITY_MEAN,249727,3.245304813939329,1.6324541284403669,6.401455120471037,5.657137594252924,5.753290377841658,1412740.0,1436751.9461872638,0.9832873404132253,0.016712659586774703
Exclude 120+ top-coded LOS,XGBOOST,249727,3.1943959999945246,1.65590500831604,6.30353689800081,5.657137594252924,5.745334534633872,1412740.0,1434765.157330513,0.9846489460536577,0.015351053946342286
120+ top-coded LOS only,APR_DRG_SEVERITY_MEAN,273,86.96485476476661,97.109375,90.42708803825477,120.0,33.03514523523339,32760.0,9018.594649218714,3.632495003291673,2.632495003291673
120+ top-coded LOS only,XGBOOST,273,86.14669385934488,96.23636817932129,89.44632830738756,120.0,33.85330614065513,32760.0,9241.95257639885,3.5447054861176337,2.5447054861176337
