shortlist_rank,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs,model_name,candidate_type,total_cv_seconds,mae_rank,median_absolute_error_rank,rmse_rank,calibration_error_abs_rank,multi_metric_rank_score,mae_improvement_vs_strong_baseline_pct
1,250000,3.284979909256935,1.658697247505188,6.959015182708617,5.782,5.776028439627647,1445500.0,1444007.1099069118,1.0010338523147468,0.0010338523147468415,XGBOOST,Statistical / ML,14.506381000042893,2.0,4.0,1.0,7.0,3.5,1.5508209096447294
2,250000,3.424587325726013,1.7341761589050293,7.128632020678226,5.782,5.783009350368043,1445500.0,1445752.3375920106,0.9998254627812458,0.00017453721875415606,RIDGE_REGRESSION,Statistical / ML,5.939482799964026,5.0,5.0,3.0,3.0,4.0,-2.633142440504053
3,250000,3.512403924490263,2.082931695888762,7.361639155710269,5.782,5.782320356629834,1445500.0,1445580.0891574584,0.9999445972187504,5.540278124960274e-05,RANDOM_FOREST,Statistical / ML,10.15140839992091,6.0,7.0,5.0,2.0,5.0,-5.264961294094277
