model_name,validation_design,feature_set,feature_count,total_cv_seconds,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs,mae_change_vs_primary_pct
XGBOOST,Random row-level KFold sensitivity,Primary,11,4.492684200056829,100000,3.2996920449890657,1.633836030960083,7.011061858143287,5.76654,5.764329342776342,576654.0,576432.9342776341,1.0003835064050304,0.00038350640503037603,0.0
XGBOOST,Random row-level KFold sensitivity,Primary + Hospital,12,5.093098099925555,100000,3.2576297069939493,1.6305726766586304,6.906167304475919,5.76654,5.757397390739072,576654.0,575739.7390739073,1.0015879760663444,0.001587976066344421,-1.2747352607947924
XGBOOST,Random row-level KFold sensitivity,Primary + Disposition,12,5.056362900068052,100000,3.1670583006831126,1.5181403160095215,6.849733088119735,5.76654,5.764050786934286,576654.0,576405.0786934285,1.0004318513416566,0.000431851341656575,-4.019579478859901
XGBOOST,Random row-level KFold sensitivity,Primary + Hospital + Disposition,13,5.394325900007971,100000,3.1213249849272846,1.5059717893600464,6.740385969052896,5.76654,5.756143800058258,576654.0,575614.3800058258,1.001806104972853,0.001806104972853051,-5.405566871994933
